HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Germany,Paraguay,2002,1,0,1
Denmark,England,2002,0,3,3
Sweden,Senegal,2002,1,2,3
Spain,Republic of Ireland,2002,1,1,2
Mexico,United States,2002,0,2,2
Brazil,Belgium,2002,2,0,2
Japan,Turkey,2002,0,1,1
South Korea,Italy,2002,2,1,3
England,Brazil,2002,1,2,3
Germany,United States,2002,1,0,1
Spain,South Korea,2002,0,0,0
Senegal,Turkey,2002,0,1,1
Germany,South Korea,2002,1,0,1
Uruguay,Denmark,2002,1,2,3
Brazil,Turkey,2002,1,0,1
South Korea,Turkey,2002,2,3,5
Germany,Brazil,2002,0,2,2
France,Senegal,2002,0,1,1
China,Costa Rica,2002,0,2,2
Brazil,China,2002,4,0,4
Spain,Paraguay,2002,3,1,4
Costa Rica,Brazil,2002,2,5,7
United States,Portugal,2002,3,2,5
South Korea,United States,2002,1,1,2
Portugal,Poland,2002,4,0,4
Portugal,South Korea,2002,0,1,1
Poland,United States,2002,3,1,4
Republic of Ireland,Cameroon,2002,1,1,2
Germany,Saudi Arabia,2002,8,0,8
Costa Rica,Turkey,2002,1,1,2
Cameroon,Saudi Arabia,2002,1,0,1
Cameroon,Germany,2002,0,2,2
Saudi Arabia,Republic of Ireland,2002,0,3,3
Argentina,Nigeria,2002,1,0,1
England,Sweden,2002,1,1,2
Sweden,Nigeria,2002,2,1,3
Argentina,England,2002,0,1,1
Germany,Republic of Ireland,2002,1,1,2
Nigeria,England,2002,0,0,0
Sweden,Argentina,2002,1,1,2
Belgium,Russia,2002,3,2,5
Tunisia,Japan,2002,0,2,2
Japan,Russia,2002,1,0,1
Russia,Tunisia,2002,2,0,2
Japan,Belgium,2002,2,2,4
Tunisia,Belgium,2002,1,1,2
Mexico,Italy,2002,1,1,2
Mexico,Ecuador,2002,2,1,3
Italy,Croatia,2002,1,2,3
Italy,Ecuador,2002,2,0,2
Croatia,Mexico,2002,0,1,1
Ecuador,Croatia,2002,1,0,1
Italy,Ukraine,2006,3,0,3
Germany,Portugal,2006,3,1,4
Portugal,France,2006,0,1,1
Germany,Italy,2006,0,2,2
Brazil,France,2006,0,1,1
England,Portugal,2006,0,0,0
Germany,Argentina,2006,1,1,2
Argentina,Mexico,2006,2,1,3
Brazil,Ghana,2006,3,0,3
Switzerland,Ukraine,2006,0,0,0
Italy,Australia,2006,1,0,1
Portugal,Netherlands,2006,1,0,1
England,Ecuador,2006,1,0,1
Germany,Sweden,2006,2,0,2
Spain,France,2006,1,3,4
Italy,France,2006,1,1,2
Ukraine,Tunisia,2006,1,0,1
Spain,Tunisia,2006,3,1,4
Iran,Angola,2006,1,1,2
United States,Czech Republic,2006,0,3,3
Italy,Ghana,2006,2,0,2
Czech Republic,Ghana,2006,0,2,2
Italy,United States,2006,1,1,2
Czech Republic,Italy,2006,0,2,2
Australia,Japan,2006,3,1,4
Brazil,Croatia,2006,1,0,1
Japan,Croatia,2006,0,0,0
Brazil,Australia,2006,2,0,2
Japan,Brazil,2006,1,4,5
Croatia,Australia,2006,2,2,4
South Korea,Togo,2006,2,1,3
France,Switzerland,2006,0,0,0
France,South Korea,2006,1,1,2
Togo,Switzerland,2006,0,2,2
Togo,France,2006,0,2,2
Switzerland,South Korea,2006,2,0,2
Spain,Ukraine,2006,4,0,4
Portugal,Mexico,2006,2,1,3
Tunisia,Saudi Arabia,2006,2,2,4
Portugal,Iran,2006,2,0,2
Angola,Portugal,2006,0,1,1
Germany,Costa Rica,2006,4,2,6
Poland,Ecuador,2006,0,2,2
Germany,Poland,2006,1,0,1
Ecuador,Costa Rica,2006,3,0,3
Ecuador,Germany,2006,0,3,3
Costa Rica,Poland,2006,1,2,3
England,Paraguay,2006,1,0,1
Trinidad and Tobago,Sweden,2006,0,0,0
England,Trinidad and Tobago,2006,2,0,2
Sweden,Paraguay,2006,1,0,1
Sweden,England,2006,2,2,4
Paraguay,Trinidad and Tobago,2006,2,0,2
Argentina,Ivory Coast,2006,2,1,3
Serbia and Montenegro,Netherlands,2006,0,1,1
Argentina,Serbia and Montenegro,2006,6,0,6
Netherlands,Ivory Coast,2006,2,1,3
Netherlands,Argentina,2006,0,0,0
Ivory Coast,Serbia and Montenegro,2006,3,2,5
Mexico,Iran,2006,3,1,4
Mexico,Angola,2006,0,0,0
Saudi Arabia,Ukraine,2006,0,4,4
Ghana,United States,2006,2,1,3
Saudi Arabia,Spain,2006,0,1,1
Australia,Serbia,2010,2,1,3
Ghana,Germany,2010,0,1,1
Ghana,Australia,2010,1,1,2
Germany,Serbia,2010,0,1,1
Germany,Australia,2010,4,0,4
Serbia,Ghana,2010,0,1,1
United States,Algeria,2010,1,0,1
Slovenia,England,2010,0,1,1
England,Algeria,2010,0,0,0
Netherlands,Denmark,2010,2,0,2
South Africa,Uruguay,2010,0,3,3
England,United States,2010,1,1,2
Greece,Argentina,2010,0,2,2
Nigeria,South Korea,2010,2,2,4
Greece,Nigeria,2010,2,1,3
Argentina,South Korea,2010,4,1,5
Argentina,Nigeria,2010,1,0,1
South Korea,Greece,2010,2,0,2
France,South Africa,2010,1,2,3
Mexico,Uruguay,2010,0,1,1
Algeria,Slovenia,2010,0,1,1
Slovenia,United States,2010,2,2,4
Japan,Cameroon,2010,1,0,1
Cameroon,Denmark,2010,1,2,3
South Africa,Mexico,2010,1,1,2
Uruguay,France,2010,0,0,0
Spain,Honduras,2010,2,0,2
Chile,Switzerland,2010,1,0,1
Spain,Switzerland,2010,0,1,1
Honduras,Chile,2010,0,1,1
North Korea,Ivory Coast,2010,0,3,3
Portugal,Brazil,2010,0,0,0
Portugal,North Korea,2010,7,0,7
Netherlands,Japan,2010,1,0,1
Brazil,Ivory Coast,2010,3,1,4
Ivory Coast,Portugal,2010,0,0,0
Paraguay,New Zealand,2010,0,0,0
Slovakia,Italy,2010,3,2,5
Italy,New Zealand,2010,1,1,2
Slovakia,Paraguay,2010,0,2,2
New Zealand,Slovakia,2010,1,1,2
Italy,Paraguay,2010,1,1,2
Cameroon,Netherlands,2010,1,2,3
Denmark,Japan,2010,1,3,4
Brazil,North Korea,2010,2,1,3
France,Mexico,2010,0,2,2
Switzerland,Honduras,2010,0,0,0
Germany,Spain,2010,0,1,1
Netherlands,Spain,2010,0,1,1
Uruguay,Germany,2010,2,3,5
Uruguay,Netherlands,2010,2,3,5
Paraguay,Spain,2010,0,1,1
Argentina,Germany,2010,0,4,4
Netherlands,Brazil,2010,2,1,3
Spain,Portugal,2010,1,0,1
Uruguay,Ghana,2010,1,1,2
Brazil,Chile,2010,3,0,3
Netherlands,Slovakia,2010,2,1,3
Chile,Spain,2010,1,2,3
Argentina,Mexico,2010,3,1,4
Germany,England,2010,4,1,5
United States,Ghana,2010,1,2,3
Uruguay,South Korea,2010,2,1,3
Paraguay,Japan,2010,0,0,0
United States,Germany,2014,0,1,1
Belgium,Russia,2014,1,0,1
Russia,South Korea,2014,1,1,2
Belgium,Algeria,2014,2,1,3
Portugal,Ghana,2014,2,1,3
United States,Portugal,2014,2,2,4
Argentina,Switzerland,2014,1,0,1
Ghana,United States,2014,1,2,3
Germany,Portugal,2014,4,0,4
Bosnia and Herzegovina,Iran,2014,3,1,4
Nigeria,Argentina,2014,2,3,5
Nigeria,Bosnia and Herzegovina,2014,1,0,1
Germany,Argentina,2014,1,0,1
Germany,Ghana,2014,2,2,4
Brazil,Netherlands,2014,0,3,3
Germany,Algeria,2014,2,1,3
Brazil,Germany,2014,1,7,8
Netherlands,Costa Rica,2014,0,0,0
Argentina,Belgium,2014,1,0,1
Brazil,Colombia,2014,2,1,3
France,Germany,2014,0,1,1
Belgium,United States,2014,2,1,3
South Korea,Algeria,2014,2,4,6
Argentina,Iran,2014,1,0,1
France,Nigeria,2014,2,0,2
Costa Rica,Greece,2014,1,1,2
Netherlands,Mexico,2014,2,1,3
Colombia,Uruguay,2014,2,0,2
Brazil,Chile,2014,1,1,2
Netherlands,Argentina,2014,0,0,0
Iran,Nigeria,2014,0,0,0
Italy,Uruguay,2014,0,1,1
Ecuador,France,2014,0,0,0
Brazil,Croatia,2014,3,1,4
Mexico,Cameroon,2014,1,0,1
Brazil,Mexico,2014,0,0,0
Cameroon,Croatia,2014,0,4,4
Cameroon,Brazil,2014,1,4,5
Croatia,Mexico,2014,1,3,4
Spain,Netherlands,2014,1,5,6
Chile,Australia,2014,3,1,4
Australia,Netherlands,2014,2,3,5
Spain,Chile,2014,0,2,2
Australia,Spain,2014,0,3,3
Netherlands,Chile,2014,2,0,2
Colombia,Greece,2014,3,0,3
Ivory Coast,Japan,2014,2,1,3
Colombia,Ivory Coast,2014,2,1,3
Japan,Greece,2014,0,0,0
Japan,Colombia,2014,1,4,5
Greece,Ivory Coast,2014,2,1,3
Uruguay,Costa Rica,2014,1,3,4
England,Italy,2014,1,2,3
Uruguay,England,2014,2,1,3
Italy,Costa Rica,2014,0,1,1
Algeria,Russia,2014,1,1,2
Costa Rica,England,2014,0,0,0
Switzerland,Ecuador,2014,2,1,3
France,Honduras,2014,3,0,3
Switzerland,France,2014,2,5,7
Honduras,Ecuador,2014,1,2,3
Honduras,Switzerland,2014,0,3,3
Argentina,Bosnia and Herzegovina,2014,2,1,3
South Korea,Belgium,2014,0,1,1
Belgium,England,2018,2,0,2
Russia,Saudi Arabia,2018,5,0,5
Germany,Sweden,2018,2,1,3
South Korea,Germany,2018,2,0,2
Mexico,Sweden,2018,0,3,3
Belgium,Panama,2018,3,0,3
Tunisia,England,2018,1,2,3
Belgium,Tunisia,2018,5,2,7
England,Panama,2018,6,1,7
England,Belgium,2018,0,1,1
Panama,Tunisia,2018,1,2,3
Colombia,Japan,2018,1,2,3
Poland,Senegal,2018,1,2,3
Japan,Senegal,2018,2,2,4
Poland,Colombia,2018,0,3,3
South Korea,Mexico,2018,1,2,3
Japan,Poland,2018,0,1,1
France,Argentina,2018,4,3,7
Uruguay,Portugal,2018,2,1,3
Spain,Russia,2018,1,1,2
Croatia,Denmark,2018,1,1,2
Brazil,Mexico,2018,2,0,2
Belgium,Japan,2018,3,2,5
Sweden,Switzerland,2018,1,0,1
Colombia,England,2018,1,1,2
Uruguay,France,2018,0,2,2
Sweden,England,2018,0,2,2
Russia,Croatia,2018,2,2,4
France,Belgium,2018,1,0,1
Croatia,England,2018,2,1,3
Senegal,Colombia,2018,0,1,1
France,Croatia,2018,4,2,6
Sweden,South Korea,2018,1,0,1
Switzerland,Costa Rica,2018,2,2,4
Egypt,Uruguay,2018,0,1,1
Russia,Egypt,2018,3,1,4
Uruguay,Saudi Arabia,2018,1,0,1
Uruguay,Russia,2018,3,0,3
Saudi Arabia,Egypt,2018,2,1,3
Morocco,Iran,2018,0,1,1
Portugal,Spain,2018,3,3,6
Portugal,Morocco,2018,1,0,1
Iran,Spain,2018,0,1,1
Iran,Portugal,2018,1,1,2
Spain,Morocco,2018,2,2,4
France,Australia,2018,2,1,3
Peru,Denmark,2018,0,1,1
Germany,Mexico,2018,0,1,1
Denmark,Australia,2018,1,1,2
Denmark,France,2018,0,0,0
Australia,Peru,2018,0,2,2
Argentina,Iceland,2018,1,1,2
Croatia,Nigeria,2018,2,0,2
Argentina,Croatia,2018,0,3,3
Nigeria,Iceland,2018,2,0,2
Nigeria,Argentina,2018,1,2,3
Iceland,Croatia,2018,1,2,3
Costa Rica,Serbia,2018,0,1,1
Brazil,Switzerland,2018,1,1,2
Brazil,Costa Rica,2018,2,0,2
Serbia,Switzerland,2018,1,2,3
Serbia,Brazil,2018,0,2,2
France,Peru,2018,1,0,1
Brazil,Belgium,2018,1,2,3
Paraguay,Bolivia,1999,0,0,0
Peru,Japan,1999,3,2,5
Paraguay,Japan,1999,4,0,4
Peru,Bolivia,1999,1,0,1
Bolivia,Japan,1999,1,1,2
Paraguay,Peru,1999,1,0,1
Brazil,Venezuela,1999,7,0,7
Chile,Mexico,1999,0,1,1
Brazil,Mexico,1999,2,1,3
Chile,Venezuela,1999,3,0,3
Brazil,Chile,1999,1,0,1
Mexico,Venezuela,1999,3,1,4
Argentina,Ecuador,1999,3,1,4
Uruguay,Colombia,1999,0,1,1
Argentina,Colombia,1999,0,3,3
Uruguay,Ecuador,1999,2,1,3
Uruguay,Argentina,1999,0,2,2
Colombia,Ecuador,1999,2,1,3
Mexico,Peru,1999,3,3,6
Uruguay,Paraguay,1999,1,1,2
Chile,Colombia,1999,3,2,5
Brazil,Argentina,1999,2,1,3
Uruguay,Chile,1999,1,1,2
Brazil,Mexico,1999,2,0,2
Chile,Mexico,1999,1,2,3
Brazil,Uruguay,1999,3,0,3
Ecuador,Chile,2001,1,4,5
Colombia,Venezuela,2001,2,0,2
Chile,Venezuela,2001,1,0,1
Colombia,Ecuador,2001,1,0,1
Ecuador,Venezuela,2001,4,0,4
Colombia,Chile,2001,2,0,2
Peru,Paraguay,2001,3,3,6
Brazil,Mexico,2001,0,1,1
Brazil,Peru,2001,2,0,2
Paraguay,Mexico,2001,0,0,0
Peru,Mexico,2001,1,0,1
Brazil,Paraguay,2001,3,1,4
Bolivia,Uruguay,2001,0,1,1
Honduras,Costa Rica,2001,0,1,1
Uruguay,Costa Rica,2001,1,1,2
Honduras,Bolivia,2001,2,0,2
Bolivia,Costa Rica,2001,0,4,4
Honduras,Uruguay,2001,1,0,1
Chile,Mexico,2001,0,2,2
Uruguay,Costa Rica,2001,2,1,3
Colombia,Peru,2001,3,0,3
Brazil,Honduras,2001,0,2,2
Mexico,Uruguay,2001,2,1,3
Colombia,Honduras,2001,2,0,2
Uruguay,Honduras,2001,2,2,4
Colombia,Mexico,2001,1,0,1
Venezuela,Colombia,2004,0,1,1
Peru,Bolivia,2004,2,2,4
Colombia,Bolivia,2004,1,0,1
Peru,Venezuela,2004,3,1,4
Venezuela,Bolivia,2004,1,1,2
Peru,Colombia,2004,2,2,4
Mexico,Uruguay,2004,2,2,4
Argentina,Ecuador,2004,6,1,7
Uruguay,Ecuador,2004,2,1,3
Argentina,Mexico,2004,0,1,1
Mexico,Ecuador,2004,2,1,3
Argentina,Uruguay,2004,4,2,6
Costa Rica,Paraguay,2004,0,1,1
Brazil,Chile,2004,1,0,1
Brazil,Costa Rica,2004,4,1,5
Paraguay,Chile,2004,1,1,2
Costa Rica,Chile,2004,2,1,3
Brazil,Paraguay,2004,1,2,3
Peru,Argentina,2004,0,1,1
Colombia,Costa Rica,2004,2,0,2
Paraguay,Uruguay,2004,1,3,4
Mexico,Brazil,2004,0,4,4
Argentina,Colombia,2004,3,0,3
Uruguay,Brazil,2004,1,1,2
Colombia,Uruguay,2004,1,2,3
Argentina,Brazil,2004,2,2,4
Uruguay,Peru,2007,0,3,3
Venezuela,Bolivia,2007,2,2,4
Bolivia,Uruguay,2007,0,1,1
Venezuela,Peru,2007,2,0,2
Peru,Bolivia,2007,2,2,4
Venezuela,Uruguay,2007,0,0,0
Ecuador,Chile,2007,2,3,5
Brazil,Mexico,2007,0,2,2
Brazil,Chile,2007,3,0,3
Mexico,Ecuador,2007,2,1,3
Mexico,Chile,2007,0,0,0
Brazil,Ecuador,2007,1,0,1
Paraguay,Colombia,2007,5,0,5
Argentina,United States,2007,4,1,5
United States,Paraguay,2007,1,3,4
Argentina,Colombia,2007,4,2,6
Colombia,United States,2007,1,0,1
Argentina,Paraguay,2007,1,0,1
Venezuela,Uruguay,2007,1,4,5
Chile,Brazil,2007,1,6,7
Mexico,Paraguay,2007,6,0,6
Argentina,Peru,2007,4,0,4
Uruguay,Brazil,2007,2,2,4
Mexico,Argentina,2007,0,3,3
Uruguay,Mexico,2007,1,3,4
Brazil,Argentina,2007,3,0,3
Colombia,Peru,2011,0,2,2
Argentina,Uruguay,2011,1,1,2
Brazil,Paraguay,2011,0,0,0
Chile,Venezuela,2011,1,2,3
Peru,Uruguay,2011,0,2,2
Paraguay,Venezuela,2011,0,0,0
Peru,Venezuela,2011,4,1,5
Uruguay,Paraguay,2011,3,0,3
Chile,Uruguay,2015,1,0,1
Bolivia,Peru,2015,1,3,4
Argentina,Colombia,2015,0,0,0
Brazil,Paraguay,2015,1,1,2
Chile,Peru,2015,2,1,3
Argentina,Paraguay,2015,6,1,7
Peru,Paraguay,2015,2,0,2
Chile,Argentina,2015,0,0,0
United States,Colombia,2016,0,2,2
Costa Rica,Paraguay,2016,0,0,0
United States,Costa Rica,2016,4,0,4
Colombia,Paraguay,2016,2,1,3
United States,Paraguay,2016,1,0,1
Colombia,Costa Rica,2016,2,3,5
Haiti,Peru,2016,0,1,1
Brazil,Ecuador,2016,0,0,0
Brazil,Haiti,2016,7,1,8
Ecuador,Peru,2016,2,2,4
Ecuador,Haiti,2016,4,0,4
Brazil,Peru,2016,0,1,1
Jamaica,Venezuela,2016,0,1,1
Mexico,Uruguay,2016,3,1,4
Uruguay,Venezuela,2016,0,1,1
Mexico,Jamaica,2016,2,0,2
Mexico,Venezuela,2016,1,1,2
Uruguay,Jamaica,2016,3,0,3
Panama,Bolivia,2016,2,1,3
Argentina,Chile,2016,2,1,3
Chile,Bolivia,2016,2,1,3
Argentina,Panama,2016,5,0,5
Chile,Panama,2016,4,2,6
Argentina,Bolivia,2016,3,0,3
United States,Ecuador,2016,2,1,3
Peru,Colombia,2016,0,0,0
Argentina,Venezuela,2016,4,1,5
Mexico,Chile,2016,0,7,7
United States,Argentina,2016,0,4,4
Colombia,Chile,2016,0,2,2
United States,Colombia,2016,0,1,1
Argentina,Chile,2016,0,0,0
Brazil,Bolivia,2019,3,0,3
Venezuela,Peru,2019,0,0,0
Bolivia,Peru,2019,1,3,4
Brazil,Venezuela,2019,0,0,0
Peru,Brazil,2019,0,5,5
Bolivia,Venezuela,2019,1,3,4
Argentina,Colombia,2019,0,2,2
Paraguay,Qatar,2019,2,2,4
Colombia,Qatar,2019,1,0,1
Argentina,Paraguay,2019,1,1,2
Qatar,Argentina,2019,0,2,2
Colombia,Paraguay,2019,1,0,1
Uruguay,Ecuador,2019,4,0,4
Japan,Chile,2019,0,4,4
Uruguay,Japan,2019,2,2,4
Ecuador,Chile,2019,1,2,3
Chile,Uruguay,2019,0,1,1
Ecuador,Japan,2019,1,1,2
Brazil,Paraguay,2019,0,0,0
Venezuela,Argentina,2019,0,2,2
Colombia,Chile,2019,0,0,0
Uruguay,Peru,2019,0,0,0
Brazil,Argentina,2019,2,0,2
Chile,Peru,2019,0,3,3
Argentina,Chile,2019,2,1,3
Brazil,Peru,2019,3,1,4
Argentina,Chile,2021,1,1,2
Paraguay,Bolivia,2021,3,1,4
Chile,Bolivia,2021,1,0,1
Argentina,Uruguay,2021,1,0,1
Uruguay,Chile,2021,1,1,2
Argentina,Paraguay,2021,1,0,1
Bolivia,Uruguay,2021,0,2,2
Chile,Paraguay,2021,0,2,2
Uruguay,Paraguay,2021,1,0,1
Bolivia,Argentina,2021,1,4,5
Brazil,Venezuela,2021,3,0,3
Colombia,Ecuador,2021,1,0,1
Colombia,Venezuela,2021,0,0,0
Brazil,Peru,2021,4,0,4
Venezuela,Ecuador,2021,2,2,4
Colombia,Peru,2021,1,2,3
Ecuador,Peru,2021,2,2,4
Brazil,Colombia,2021,2,1,3
Brazil,Ecuador,2021,1,1,2
Venezuela,Peru,2021,0,1,1
Peru,Paraguay,2021,3,3,6
Brazil,Chile,2021,1,0,1
Uruguay,Colombia,2021,0,0,0
Argentina,Ecuador,2021,3,0,3
Brazil,Peru,2021,1,0,1
Argentina,Colombia,2021,1,1,2
Colombia,Peru,2021,3,2,5
Argentina,Brazil,2021,1,0,1
Germany,Romania,2000,1,1,2
Portugal,England,2000,3,2,5
Romania,Portugal,2000,0,1,1
England,Germany,2000,1,0,1
England,Romania,2000,2,3,5
Portugal,Germany,2000,3,0,3
Belgium,Sweden,2000,2,1,3
Turkey,Italy,2000,1,2,3
Italy,Belgium,2000,2,0,2
Sweden,Turkey,2000,0,0,0
Turkey,Belgium,2000,2,0,2
Italy,Sweden,2000,2,1,3
Spain,Norway,2000,0,1,1
FR,vs,2000,3,3,6
Slovenia,Spain,2000,1,2,3
Norway,FR,2000,0,1,1
FR,vs,2000,3,4,7
Slovenia,Norway,2000,0,0,0
France,Denmark,2000,3,0,3
Netherlands,Czech,2000,1,0,1
Czech,vs,2000,1,2,3
Denmark,Netherlands,2000,0,3,3
Denmark,Czech,2000,0,2,2
France,Netherlands,2000,2,3,5
Turkey,Portugal,2000,0,2,2
Italy,Romania,2000,2,0,2
Netherlands,FR,2000,6,1,7
Spain,France,2000,1,2,3
France,Portugal,2000,2,1,3
Italy,Netherlands,2000,0,0,0
France,Italy,2000,2,1,3
Germany,Romania,2004,1,1,2
Portugal,England,2004,3,2,5
Romania,Portugal,2004,0,1,1
England,Germany,2004,1,0,1
England,Romania,2004,2,3,5
Portugal,Germany,2004,3,0,3
Belgium,Sweden,2004,2,1,3
Turkey,Italy,2004,1,2,3
Italy,Belgium,2004,2,0,2
Sweden,Turkey,2004,0,0,0
Turkey,Belgium,2004,2,0,2
Italy,Sweden,2004,2,1,3
Spain,Norway,2004,0,1,1
FR,vs,2004,3,3,6
Slovenia,Spain,2004,1,2,3
Norway,FR,2004,0,1,1
FR,vs,2004,3,4,7
Slovenia,Norway,2004,0,0,0
France,Denmark,2004,3,0,3
Netherlands,Czech,2004,1,0,1
Czech,vs,2004,1,2,3
Denmark,Netherlands,2004,0,3,3
Denmark,Czech,2004,0,2,2
France,Netherlands,2004,2,3,5
Turkey,Portugal,2004,0,2,2
Italy,Romania,2004,2,0,2
Netherlands,FR,2004,6,1,7
Spain,France,2004,1,2,3
France,Portugal,2004,2,1,3
Italy,Netherlands,2004,0,0,0
Greece,Portugal,2004,2,1,3
Portugal,Greece,2004,1,2,3
Spain,Russia,2004,1,0,1
Greece,Spain,2004,1,1,2
Russia,Portugal,2004,0,2,2
Spain,Portugal,2004,0,1,1
Russia,Greece,2004,2,1,3
Switzerland,Croatia,2004,0,0,0
France,England,2004,2,1,3
England,Switzerland,2004,3,0,3
Croatia,France,2004,2,2,4
Croatia,England,2004,2,4,6
Switzerland,France,2004,1,3,4
Denmark,Italy,2004,0,0,0
Sweden,Bulgaria,2004,5,0,5
Bulgaria,Denmark,2004,0,2,2
Italy,Sweden,2004,1,1,2
Italy,Bulgaria,2004,2,1,3
Denmark,Sweden,2004,2,2,4
Czech,vs,2004,2,1,3
Germany,Netherlands,2004,1,1,2
Latvia,Germany,2004,0,0,0
Netherlands,Czech,2004,2,3,5
Netherlands,Latvia,2004,3,0,3
Germany,Czech,2004,1,2,3
Portugal,England,2004,2,2,4
France,Greece,2004,0,1,1
Sweden,Netherlands,2004,0,0,0
Czech,vs,2004,3,0,3
Portugal,Netherlands,2004,2,1,3
Greece,Czech,2004,1,0,1
Germany,Romania,2008,1,1,2
Portugal,England,2008,3,2,5
Romania,Portugal,2008,0,1,1
England,Germany,2008,1,0,1
England,Romania,2008,2,3,5
Portugal,Germany,2008,3,0,3
Belgium,Sweden,2008,2,1,3
Turkey,Italy,2008,1,2,3
Italy,Belgium,2008,2,0,2
Sweden,Turkey,2008,0,0,0
Turkey,Belgium,2008,2,0,2
Italy,Sweden,2008,2,1,3
Spain,Norway,2008,0,1,1
FR,vs,2008,3,3,6
Slovenia,Spain,2008,1,2,3
Norway,FR,2008,0,1,1
FR,vs,2008,3,4,7
Slovenia,Norway,2008,0,0,0
France,Denmark,2008,3,0,3
Netherlands,Czech,2008,1,0,1
Czech,vs,2008,1,2,3
Denmark,Netherlands,2008,0,3,3
Denmark,Czech,2008,0,2,2
France,Netherlands,2008,2,3,5
Turkey,Portugal,2008,0,2,2
Italy,Romania,2008,2,0,2
Netherlands,FR,2008,6,1,7
Spain,France,2008,1,2,3
France,Portugal,2008,2,1,3
Italy,Netherlands,2008,0,0,0
Spain,Germany,2008,2,1,3
Portugal,Greece,2008,1,2,3
Spain,Russia,2008,1,0,1
Greece,Spain,2008,1,1,2
Russia,Portugal,2008,0,2,2
Spain,Portugal,2008,0,1,1
Russia,Greece,2008,2,1,3
Switzerland,Croatia,2008,0,0,0
France,England,2008,2,1,3
England,Switzerland,2008,3,0,3
Croatia,France,2008,2,2,4
Croatia,England,2008,2,4,6
Switzerland,France,2008,1,3,4
Denmark,Italy,2008,0,0,0
Sweden,Bulgaria,2008,5,0,5
Bulgaria,Denmark,2008,0,2,2
Italy,Sweden,2008,1,1,2
Italy,Bulgaria,2008,2,1,3
Denmark,Sweden,2008,2,2,4
Czech,vs,2008,2,1,3
Germany,Netherlands,2008,1,1,2
Latvia,Germany,2008,0,0,0
Netherlands,Czech,2008,2,3,5
Netherlands,Latvia,2008,3,0,3
Germany,Czech,2008,1,2,3
Portugal,England,2008,2,2,4
France,Greece,2008,0,1,1
Sweden,Netherlands,2008,0,0,0
Czech,vs,2008,3,0,3
Portugal,Netherlands,2008,2,1,3
Greece,Czech,2008,1,0,1
Switzerland,Czech,2008,0,1,1
