,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
98,Mexico,Paraguay,2007,6,0,6
99,Argentina,Peru,2007,4,0,4
100,Uruguay,Brazil,2007,2,2,4
101,Mexico,Argentina,2007,0,3,3
102,Uruguay,Mexico,2007,1,3,4
103,Brazil,Argentina,2007,3,0,3
104,Colombia,Peru,2011,0,2,2
105,Argentina,Uruguay,2011,1,1,2
106,Brazil,Paraguay,2011,0,0,0
107,Chile,Venezuela,2011,1,2,3
108,Peru,Uruguay,2011,0,2,2
109,Paraguay,Venezuela,2011,0,0,0
110,Peru,Venezuela,2011,4,1,5
111,Uruguay,Paraguay,2011,3,0,3
112,Chile,Uruguay,2015,1,0,1
113,Bolivia,Peru,2015,1,3,4
114,Argentina,Colombia,2015,0,0,0
115,Brazil,Paraguay,2015,1,1,2
116,Chile,Peru,2015,2,1,3
117,Argentina,Paraguay,2015,6,1,7
118,Peru,Paraguay,2015,2,0,2
119,Chile,Argentina,2015,0,0,0
120,United States,Colombia,2016,0,2,2
121,Costa Rica,Paraguay,2016,0,0,0
122,United States,Costa Rica,2016,4,0,4
123,Colombia,Paraguay,2016,2,1,3
124,United States,Paraguay,2016,1,0,1
125,Colombia,Costa Rica,2016,2,3,5
126,Haiti,Peru,2016,0,1,1
127,Brazil,Ecuador,2016,0,0,0
128,Brazil,Haiti,2016,7,1,8
129,Ecuador,Peru,2016,2,2,4
130,Ecuador,Haiti,2016,4,0,4
131,Brazil,Peru,2016,0,1,1
132,Jamaica,Venezuela,2016,0,1,1
133,Mexico,Uruguay,2016,3,1,4
134,Uruguay,Venezuela,2016,0,1,1
135,Mexico,Jamaica,2016,2,0,2
136,Mexico,Venezuela,2016,1,1,2
137,Uruguay,Jamaica,2016,3,0,3
138,Panama,Bolivia,2016,2,1,3
139,Argentina,Chile,2016,2,1,3
140,Chile,Bolivia,2016,2,1,3
141,Argentina,Panama,2016,5,0,5
142,Chile,Panama,2016,4,2,6
143,Argentina,Bolivia,2016,3,0,3
144,United States,Ecuador,2016,2,1,3
145,Peru,Colombia,2016,0,0,0
146,Argentina,Venezuela,2016,4,1,5
147,Mexico,Chile,2016,0,7,7
148,United States,Argentina,2016,0,4,4
149,Colombia,Chile,2016,0,2,2
150,United States,Colombia,2016,0,1,1
151,Argentina,Chile,2016,0,0,0
152,Brazil,Bolivia,2019,3,0,3
153,Venezuela,Peru,2019,0,0,0
154,Bolivia,Peru,2019,1,3,4
155,Brazil,Venezuela,2019,0,0,0
156,Peru,Brazil,2019,0,5,5
157,Bolivia,Venezuela,2019,1,3,4
158,Argentina,Colombia,2019,0,2,2
159,Paraguay,Qatar,2019,2,2,4
160,Colombia,Qatar,2019,1,0,1
161,Argentina,Paraguay,2019,1,1,2
162,Qatar,Argentina,2019,0,2,2
163,Colombia,Paraguay,2019,1,0,1
164,Uruguay,Ecuador,2019,4,0,4
165,Japan,Chile,2019,0,4,4
166,Uruguay,Japan,2019,2,2,4
167,Ecuador,Chile,2019,1,2,3
168,Chile,Uruguay,2019,0,1,1
169,Ecuador,Japan,2019,1,1,2
170,Brazil,Paraguay,2019,0,0,0
171,Venezuela,Argentina,2019,0,2,2
172,Colombia,Chile,2019,0,0,0
173,Uruguay,Peru,2019,0,0,0
174,Brazil,Argentina,2019,2,0,2
175,Chile,Peru,2019,0,3,3
176,Argentina,Chile,2019,2,1,3
177,Brazil,Peru,2019,3,1,4
178,Argentina,Chile,2021,1,1,2
179,Paraguay,Bolivia,2021,3,1,4
180,Chile,Bolivia,2021,1,0,1
181,Argentina,Uruguay,2021,1,0,1
182,Uruguay,Chile,2021,1,1,2
183,Argentina,Paraguay,2021,1,0,1
184,Bolivia,Uruguay,2021,0,2,2
185,Chile,Paraguay,2021,0,2,2
186,Uruguay,Paraguay,2021,1,0,1
187,Bolivia,Argentina,2021,1,4,5
188,Brazil,Venezuela,2021,3,0,3
189,Colombia,Ecuador,2021,1,0,1
190,Colombia,Venezuela,2021,0,0,0
191,Brazil,Peru,2021,4,0,4
192,Venezuela,Ecuador,2021,2,2,4
193,Colombia,Peru,2021,1,2,3
194,Ecuador,Peru,2021,2,2,4
195,Brazil,Colombia,2021,2,1,3
196,Brazil,Ecuador,2021,1,1,2
197,Venezuela,Peru,2021,0,1,1
198,Peru,Paraguay,2021,3,3,6
199,Brazil,Chile,2021,1,0,1
200,Uruguay,Colombia,2021,0,0,0
201,Argentina,Ecuador,2021,3,0,3
202,Brazil,Peru,2021,1,0,1
203,Argentina,Colombia,2021,1,1,2
204,Colombia,Peru,2021,3,2,5
205,Argentina,Brazil,2021,1,0,1
